AccountID,Highest Amount,Lowest Amount,Difference
054d69e4-4965-4efe-8c4c-d5fde37a5581,-2149.337479,-7593.447888,5444.110409
031772d7-1210-42f4-ae76-60b4df0777ab,-5422.293892,-7307.191459,1884.897567
d75b538b-eca9-4ad8-bae5-cb4000d3f840,-8959.467578,-14033.58116,5074.113584
3c296219-f392-4439-9005-38cdff0824c7,-2184.305176,-2820.402598,636.0974216
458830ee-8e50-4d03-b9ef-469f67b5f128,4725.694681,1166.090454,3559.604227
4c71c0ac-6f9f-4cfd-9854-1447703bb215,-9820.123729,-20508.80123,10688.6775
89ab357a-4bbf-477a-aaee-60c3aa659168,-8045.297779,-25657.6556,17612.35782
51e788f5-6015-429d-8897-f1faef147bd1,-3015.235995,-5451.401764,2436.165769
16407,-344.7911026,-441.9489661,97.15786359
e520d0a6-a1d7-468a-9d5b-3e554dafe615,-7951.699737,-14733.32789,6781.628158
28180512-082e-4f14-bc12-d66cd9c22417,210.7839711,-1426.475473,1637.259445
cf57875c-430d-444a-be07-abde3c8eafab,-6721.66571,-16296.44304,9574.777332
224f4fe1-cb84-4926-88bf-3159ff28f320,-2871.424376,-6916.167857,4044.743481
c29abef9-d8be-4b37-bb84-f1344496cc33,-683.069188,-1260.024919,576.9557308
5806a549-8753-48d9-ab45-9188151639d2,-7515.965662,-17018.88812,9502.92246
248914c4-1320-47d9-80d9-3e4dc1d646bc,155.5252013,-487.290857,642.8160583
7459cd82-c1f0-4580-858d-6f507f51da5a,3040.746365,1506.773585,1533.97278
5ffc25d1-97f4-4eb2-b31e-8e1a5cb39aa8,-6427.776161,-14872.09831,8444.322144
4ee24ad0-965d-4bb6-9df6-4861c5464718,-195291.4765,-260575.6951,65284.21861
4fb146a1-70fb-46d4-9817-ce2e27926608,5036.568629,932.3311366,4104.237493
c980b50e-d4d7-468b-9ca8-d3d4494bc041,-6238.38839,-11558.66249,5320.274099
06e1c218-e56d-4280-b7e4-36fdbabbd563,-126055.5328,-192366.5858,66311.05309
8cfe5551-fb84-41c1-bb40-6d73a2a81fdf,-59744.53655,-112980.2852,53235.74869
0734342c-6b9a-42f8-834c-08a98d60e98c,-22751.2327,-32496.84901,9745.616309
16434,19276.64776,1986.600601,17290.04716
5494ad63-4540-438a-b43f-12b7dec828c9,-9621.15779,-22766.24887,13145.09108
c574bf11-f6e1-46d6-8a82-f966998c89e7,4734.53301,1441.644223,3292.888787
fc4b16fd-ff68-494e-95e2-578219437a28,-4538.32752,-7142.588869,2604.26135
16448,16339.96153,-1215.447216,17555.40874
16420,2364.372724,714.0230972,1650.349627
16418,13543.97981,-5687.733794,19231.71361
d1503667-7dc3-43c6-a861-3ad0897876b7,4263.394581,-1258.896063,5522.290645
f1f11e26-f50b-4e90-9cdb-324e96cd199e,-275.8316233,-1790.394446,1514.562823
0a2c2b45-42bf-4a2e-8118-e7279e5589de,287.6277748,-437.1176377,724.7454125
ed48f8cd-4735-4d85-b60b-85072796882c,-304.4771205,-880.3204247,575.8433042
16452,-4377.679518,-8595.482623,4217.803106
0ef82a07-1223-499d-be93-31f40c19f375,9032.734196,673.951335,8358.782861
14c1420f-c74a-4afe-bf22-cd6ab7cd12b4,-905.0596945,-2947.718743,2042.659049
13db8e91-25f6-48db-9df6-974a3b920945,-45284.97302,-71320.10568,26035.13266
29042ffc-e45d-4fe9-984f-8f8a74e550c2,-2168.701118,-4409.951668,2241.250551
9c7aa0c6-1053-4f16-88ea-a8daa215a05c,-2904.578302,-5068.216141,2163.637839
258e8d14-da6a-4e30-b024-d2eaa9a0c686,-943.3385377,-3771.464144,2828.125606
52fa60f0-cc48-4d49-9f33-e267013e4f86,3884.288768,1156.576928,2727.71184
2c8778f4-d3ef-4ff9-b912-0be449f47db8,-3554.138005,-4385.298116,831.1601105
8cbf5242-29c7-4784-be98-1ad2c57f531d,-197420.7377,-273416.0089,75995.27113
d994a8e3-00d1-4560-a25e-ba93583f96d4,-87898.87942,-125096.6036,37197.72417
9d2829c5-95cf-4b42-b7a5-4f1791f0c0b7,-721.8485927,-4384.148738,3662.300145
e2eb8368-3fa8-4667-838a-d83c649e72c1,-931191.205,-1024372.736,93181.53135
49710577-6bbe-4555-86af-e50a24d1885e,4273.196879,1281.734956,2991.461923
