AccountID,RMSE,SI
059918e4-9021-4dc0-b1a8-d29bbae321f7,3592.588937,1.279392878
1dd292bb-7f33-4a02-9fb2-5fdaf23fa6d9,4263.011403,1.827878613
ed830c0a-497c-4472-bfc2-601244c07771,1641.337167,2.077628834
5f7f5bd9-d396-47e0-a12e-cbf46ad9185d,4510.821264,1.637043603
16c1c689-a0f3-4629-8338-e615c30914bf,10186.96686,1.347767274
11e7438c-141d-4d2c-af07-4e967eea8854,254986.5703,1.845751115
99f48ac1-f7b7-4605-b5b7-3401cadb1387,115729.5192,1.669026395
79d9fdf9-fce1-4f64-87cc-0f04d7d872f0,3902.638384,1.346658674
ef6acb75-7071-4b56-846d-408bcbb92743,2712.065797,0.971690456
9bbe944f-8fb6-4be7-bbe6-093fd240556c,3820.09438,61.18269277
5a5161ce-4e81-429d-8c60-468e1ced8df3,2921.461812,1.575387617
616860cb-ac9d-434d-8574-925db1ac1ea1,1571.631306,2.744737681
b0926892-ec8b-4ffd-b86e-d909fff85313,1391.256401,1.959256663
330a6c85-d0a4-4d46-8b82-3cb27561986c,9965.595313,1.307321998
21d2ea3f-0445-4481-b26c-448e7cf0d11d,10186.63045,1.252248148
532aae42-83bf-43fb-addb-a07c4af4e56c,4851.794978,2.030768777
37ae9858-3cde-4e00-b470-5d249c39b12b,4730.302582,1.736391701
03876788-f6c3-4b94-ada0-f4a4b0e6c444,185526.2564,1.313249172
39d675da-f21d-424f-8340-6611eb3ab437,6734.923671,1.598901973
f5b8a677-f3ca-4d65-a1c1-10e0b2050217,1864.272429,1.720668848
befdf3e4-5b2c-49d3-8f53-550e2f234d9c,14259.36345,1.060003441
2081376f-518f-42a2-8979-b2423d062652,4110.280043,24.14970648
1582d967-579c-4406-ab13-7a687fd083fd,2474.60393,2.373798215
a31e8c7f-c7e8-4ead-87ad-7171318a975f,1713.283655,1.982315599
1cfc34b7-f406-440e-b702-69dbdec37fa7,36764.9347,0.605309237
e9ddc8cd-11a5-4b5f-9f16-9f0e49bf0d16,7306.468912,10.38006989
16444,12250.24593,5.217666423
ec13c062-938e-4a72-8715-e7ea1e426f28,1617.243658,1.720709947
ec2bd31f-1caa-4a4c-aff7-3abe166835e9,3182.605739,1.059677502
5e1b8362-3878-4fdb-a9d3-e273ad35e7f0,126034.197,0.709422255
799b83e5-247c-421c-84f7-74a11cf35fc7,110737.3896,1.322952846
108b52c2-fee3-44cb-90ff-f505ef1bf644,2355.352872,1.648898709
63798331-704a-4630-86f9-da64cc42ad40,1246.617624,1.406277989
fff7f00c-c869-4310-b705-4503538f5ecf,4235.940516,3.116499962
f5b42988-2e6c-4ace-bef6-7ee8891ebd09,1351.571899,1.62205627
820bc83e-0c9b-4f3a-ae15-7423927453fd,4252.088558,1.494781577
d31b3080-d61d-4199-804d-6b8e16dc18f4,12738.75907,6.84027795
f0ff162d-52e0-4dd9-b973-89bddf73c201,2799.375147,1.878138716
5c9a8148-80f7-4f50-a743-e5aa862df2f6,41840.98567,0.90917957
24b71a39-49ad-4691-a974-ef469d6be183,1904.532008,1.054849016
16412,1701.684693,7.84671038
c0d5e0e1-0c04-4d7e-a9ef-570415449c0c,2362.578997,4.135950487
3a98e91c-b44d-4427-ba16-8b762379db5c,15664.01011,4.968036401
71108cf5-fd51-4c8b-9df9-e8916b8b3243,6137.860376,3.332569783
61c3faa3-156a-411d-a94b-20fd597c877a,188410.1447,1.069591923
097d1afb-7f99-40ee-ba33-8fccda0a4d47,1526.147521,4.689259135
cb484940-596f-4183-8eee-25b1999c3aba,1921.363222,2.391355437
f390aee1-710d-47b5-8c0c-379e63d2a6ec,6253.913834,1.763904786
bd079313-5218-4c95-95b9-2324ba9c8e1d,3089.002793,5.341153634
4fa320bd-6477-4ed1-9d53-d594d883ee47,7362.069325,10.23106441
16267,809134.0124,2.284475431
4900f284-3f95-4464-b2e0-0b9a156aa054,2353.795997,1.204018516
65a828a4-07fa-4735-bdca-bdad0c2078dc,12503.94917,1.721797149
4c72dfd3-844b-460e-ae12-d1cff145fc69,126478.7307,0.866468546
9b1abd09-fb10-4eca-96ea-bb249009511a,3491.499398,1.173304832
20bc42e4-0e97-4068-a2e8-bb0e6743f63e,5982.18336,2.35651143
07102f17-392f-4e99-af61-ffdb6c3bbc77,5157.773382,1.651786712
63de17b3-8e28-48ff-8489-2fb0059decfc,3342.495957,1.048143461
16437,13275.01119,2.843556174
853fe11e-99a8-4e92-ab71-cf5659c208d4,7102.640548,2.448522762
d9dbf7e0-d281-401d-8d39-783636f74fe8,7955.473138,2.249426053
16436,3429.280779,3.122694621
9d6ce43a-58df-40d0-bc2e-72449463249d,4574.262303,3.453691405
bfa9cc4b-8a4c-4352-9045-201faf9608cf,3156.614635,1.256593096
73d1fa2c-e08c-4e39-9ec7-b3dfdf7d16e2,189022.9539,1.057429744
16456,15252.18356,1.659221389
7e8334c1-0da0-4993-a413-ea18202daae9,3893.194199,1.517482017
1a3b2e0b-2040-43db-bf03-b62e6f02a9c4,6614.993325,1.758252719
bb93fbc7-59e6-4708-bc9a-42225ba4573b,82638.29263,1.572144042
dba26c7b-7cf9-4bd9-bbeb-672bc8771e33,1680.076873,1.437609633
54487763-c23c-47da-a892-f1ea56779314,2321.075353,3.886362096
704d3aff-265e-4d20-9e07-3817646ecc6e,2821.781253,9.163561315
c8496fd4-f735-4c19-b0f5-c8cb809cef90,4906.35542,6.585623576
2c8d9d9e-f66e-45c7-b41e-d4d425847ff6,4486.936731,1.759748655
721240cf-0513-4f8c-a299-10e0c6d96238,66902.06728,1.517796333
c4886893-3a39-417d-acc8-80810fca1e7e,2117.92868,1.01778966
1c88f2ac-56b5-4e31-b040-9ade8b96115f,3138.320379,1.589045505
935507b6-f5da-47f7-8b15-cae3323e8ee9,2829.738743,2.528426193
e9272f7c-52de-43b7-89cc-7a88e27ad0e5,7127.538423,1.268989504
0c8432e7-b8d2-4188-88de-67f2936226aa,3534.771484,1.108918693
38c85335-f73b-4291-8b80-938ca0f0c791,8437.739011,3.461006082
0003a5ae-0c77-4372-b44d-882ef9874a28,2876.123025,1.082648561
bac50a33-c712-4c39-8c9e-9ead5d04f64f,6167.07487,9.920589388
