AccountID,Difference,Highest Amount,Lowest Amount
39d675da-f21d-424f-8340-6611eb3ab437,0.0,3751.1800000000003,3751.1800000000003
d6e38a7f-5cec-4bf4-8851-75a9662d96ae,0.0,-1072.96,-1072.96
0003a5ae-0c77-4372-b44d-882ef9874a28,0.0,2032.22,2032.22
b7cebbed-7016-4c5b-a033-a15873b28639,0.0,-209.18999999999994,-209.18999999999994
97e91e31-ff49-4714-99a5-8f09cdd13a67,0.0,782.3600000000002,782.3600000000002
7a3428e5-434f-4599-9d57-0ab19d1bb4be,0.0,969.36,969.36
b07bad35-f748-4af7-8089-f5c5a3fb5056,0.0,1725.06,1725.06
4c15eaf5-4b2c-41cd-b6b4-429dffa6365b,0.0,-767.2,-767.2
b4412420-2436-42d7-b139-ad44858284dc,0.0,1310.38,1310.38
77303cad-e32f-4568-9482-552625c1bf54,0.0,-47592.78,-47592.78
bb1082d7-b3ba-4f07-bc40-7e9936c75b1e,0.0,0.0,0.0
ff93a2df-d916-4a1d-beb6-9e163322f70d,0.0,-1640.0499999999997,-1640.0499999999997
5e9b429a-79a2-4deb-9377-9f3187c3e194,0.0,0.0,0.0
cf57875c-430d-444a-be07-abde3c8eafab,0.0,-1349.19,-1349.19
65d11c4a-e389-4ce3-81ee-9900a4f3c639,0.0,199.76,199.76
108b52c2-fee3-44cb-90ff-f505ef1bf644,0.0,-350.53,-350.53
bbffef0a-9431-4b7a-9824-a1271dbc5b7f,0.0,-114327.13,-114327.13
7a6a6cde-6586-4f4d-97e6-ff371d7bd426,0.0,0.0,0.0
0bd83140-a80d-4a56-954f-ca87c8403f9d,0.0,1595.0100000000002,1595.0100000000002
2b3d5832-3278-480c-8c0a-027be44d693d,0.0,1528.7800000000002,1528.7800000000002
4900f284-3f95-4464-b2e0-0b9a156aa054,0.0,0.0,0.0
7459cd82-c1f0-4580-858d-6f507f51da5a,0.0,-481.0,-481.0
16422,0.0,0.0,0.0
505ec7c9-44b3-4ef3-8678-b64fc4a01e16,0.0,255.57999999999993,255.57999999999993
258e8d14-da6a-4e30-b024-d2eaa9a0c686,0.0,-1002.93,-1002.93
bb7f2ee2-996c-4e21-866c-05f4ce0ec545,0.0,-23682.59,-23682.59
743b329e-361b-4dbb-82a5-2a8573f6ce45,0.0,-779.79,-779.79
1c74e692-be81-499e-b7e0-3b2398ac2697,0.0,0.0,0.0
71e2ef3e-5975-46a8-9ce4-01eb8eae5c00,0.0,0.0,0.0
029729c8-69e6-4f50-a94d-c9bb2a514d92,0.0,-556.64,-556.64
b58a892c-da69-4241-8d26-9ae4cc1c4816,0.0,878.11,878.11
12bc2cb3-3e59-4472-b053-4dd33acd2ae0,0.0,-3275.14,-3275.14
5f4ff4ef-63b7-41ea-8871-2d4516bf5125,0.0,-1329.02,-1329.02
29042ffc-e45d-4fe9-984f-8f8a74e550c2,0.0,-3505.15,-3505.15
0dcd6c37-ea7e-4dfa-80f3-ffc922bc75e9,0.0,0.0,0.0
28180512-082e-4f14-bc12-d66cd9c22417,0.0,0.0,0.0
02996e88-f315-4cf7-ae88-d4dde67f33b7,0.0,-2266.04,-2266.04
925ae278-4c75-4d7e-999f-eb611e06eb87,0.0,-4477.990000000001,-4477.990000000001
643bf604-79aa-40d6-876b-bd5033624082,0.0,489.4899999999998,489.4899999999998
690181b1-cfae-4d68-bd5e-26c525dd7440,0.0,-2475.0,-2475.0
20bc42e4-0e97-4068-a2e8-bb0e6743f63e,0.0,-322.58000000000004,-322.58000000000004
248914c4-1320-47d9-80d9-3e4dc1d646bc,0.0,0.0,0.0
16274,0.0,-185305.37,-185305.37
